ID de l'eKanban;Articles;Sebango;Qté d'articles;Statut;Date Time Created;Heure de scan;Poids brut;Utilisateur;Id petit train;Storage bin from;Storage bin to;Ligne de production;Cycle ID;N° de page
1268000000001;1805707XXX;5707;42;REUSABLE;16.11.2017 10:34:22;Not scanned;9.03 KGM;colinan;trviolet;DA 02;L550;EAGLE;;
1268000000002;1213259XXX;3259;400;REUSABLE;16.11.2017 17:20:17;15.12.2017 11:16:08;8.02 KGM;colinan;trviolet;DD 14;DV6E5 FAP;EAGLE;20171215011;
1268000000003;1016012XXX;6012;500;REUSABLE;16.11.2017 17:20:17;19.12.2017 20:01:50;5.01 KGM;colinan;trviolet;DH 42;DV6E5 FAP;EAGLE;20171219023;
1268000000004;1148418XXX;8418;45;REUSABLE;16.11.2017 17:20:17;19.12.2017 20:01:50;10.12 KGM;colinan;trviolet;G 040;DV6E5 FAP;EAGLE;20171219023;
1268000000005;1013663XXX;3663;24;REUSABLE;16.11.2017 17:20:18;20.12.2017 09:07:45;7.75 KGM;colinan;trviolet;G 062;DV6E5 FAP;EAGLE;20171220021;
1268000000006;3141057400;574;100;REUSABLE;16.11.2017 17:20:18;15.12.2017 11:16:08;9.09 KGM;colinan;trviolet;DJ 13;DV6E5 FAP;EAGLE;20171215011;
1268000000007;3141061600;616;24;REUSABLE;16.11.2017 17:20:18;11.12.2017 18:50:12;5.275 KGM;colinan;trviolet;G 036;DV6E5 FAP;EAGLE;20171211013;
1268000000008;1028514XXX;8514;288;PRINTED;16.11.2017 17:20:18;Not scanned;60.69 KGM;colinan;trjaune;;DV6E5 FAP;EAGLE;;
1268000000009;1105039XXX;5039;24;REUSABLE;16.11.2017 17:20:19;01.12.2017 08:43:09;15 KGM;colinan;trviolet;G 030;DV6E5 FAP;EAGLE;20171201020;
1268000000010;1097294LAS;7294;181;PRINTED;16.11.2017 17:20:19;Not scanned;192.01 KGM;colinan;trjaune;;DV6E5 FAP;EAGLE;;
1268000000011;3141027970;279;110;REUSABLE;16.11.2017 17:20:20;15.12.2017 18:48:06;9.99 KGM;colinan;trviolet;F 036;DV6E5 FAP;EAGLE;20171215019;
1268000000012;3140329200;P005;1000;PRINTED;16.11.2017 17:20:20;Not scanned;1.001 KGM;colinan;trjaune;DE 14;DV6E5 FAP;EAGLE;;
1268000000013;3140330100;3301;1000;PRINTED;16.11.2017 17:20:20;Not scanned;5.005 KGM;colinan;trjaune;DE 22;DV6E5 FAP;EAGLE;;
1268000000014;3140816800;8168;250;REUSABLE;16.11.2017 17:20:21;19.12.2017 11:17:32;2.51 KGM;colinan;trviolet;E 076;DV6E5 FAP;EAGLE;20171219021;
1268000000015;1171067XXX;1067;30;PRINTED;16.11.2017 17:20:21;Not scanned;4.898 KGM;colinan;trjaune;;X62;EAGLE;;
1268000000016;1171069XXX;1069;40;PRINTED;16.11.2017 17:20:22;Not scanned;6.068 KGM;colinan;trjaune;;X62;EAGLE;;
1268000000017;1171070XXX;1070;75;PRINTED;16.11.2017 17:20:23;Not scanned;8.36 KGM;colinan;trjaune;;X62;EAGLE;;
1268000000018;1254725XXX;4725;12;REUSABLE;16.11.2017 17:20:23;19.12.2017 06:21:56;11.57 KGM;colinan;trviolet;G 008;DV6E5 FAP;EAGLE;20171219014;
