Div.,Article,Sebango,Forced
1268,1118045218,0452,X
1268,10345,0345,X
1268,10400,0400,X
1268,10404,0404,X
1268,10599,0599,X
1268,10600,0600,X
1268,10601,0601,X
1268,10678,0678,X
1268,10810,0810,X
1268,10811,0811,X
1268,10812,0812,X
1268,10813,0813,X
1268,10823,0823,X
1268,10950,0950,X
1268,10951,0951,X
1268,10952,0952,X
1268,10953,0953,X
1268,10954,0954,X
1268,11030,1030,X
1268,11041,1041,X
1268,11147,1147,X
1268,11148,1148,X
1268,11149,1149,X
1268,11155,1155,X
1268,11250,1250,X
1268,11252,1252,X
1268,11254,1254,X
1268,11255,1255,X
1268,11256,1256,X
1268,11257,1257,X
1268,11258,1258,X
1268,11260,1260,X
1268,11262,1262,X
1268,11271,1271,X
1268,11302,1302,X
1268,11315,1315,X
1268,11338,1338,X
1268,11339,1339,X
1268,11345,1345,X
1268,11377,1377,X
1268,11378,1378,X
1268,11387,1387,X
1268,11396,1396,X
1268,11397,1397,X
1268,11398,1398,X
1268,11408,1408,X
1268,11428,1428,X
1268,11437,1437,X
1268,11442,1442,X
1268,11499,1499,X
1268,11500,1500,X
1268,11520,1520,X
1268,11521,1521,X
1268,11522,1522,X
1268,11523,1523,X
1268,11528,1528,X
1268,11536,1536,X
1268,11537,1537,X
1268,11538,1538,X
1268,11539,1539,X
1268,11540,1540,X
1268,11545,1545,X
1268,11546,1546,X
1268,11547,1547,X
1268,11548,1548,X
1268,11554,1554,X
1268,11557,1557,X
1268,11562,1562,X
1268,11579,1579,X
1268,11580,1580,X
1268,11584,1584,X
1268,11585,1585,X
1268,11586,1586,X
1268,11587,1587,X
1268,11592,1592,X
1268,11593,1593,X
1268,11635,1635,X
1268,11636,1636,X
1268,11637,1637,X
1268,11638,1638,X
1268,11639,1639,X
1268,11644,1644,X
1268,11676,1676,X
1268,11689,1689,X
1268,11699,1699,X
1268,11709,1709,X
1268,11718,1718,X
1268,11725,1725,X
1268,11738,1738,X
1268,11744,1744,X
1268,11750,1750,X
1268,11759,1759,X
1268,11764,1764,X
1268,11768,1768,X
1268,11772,1772,X
1268,11787,1787,X
1268,11799,1799,X
1268,11802,1802,X
1268,11803,1803,X
1268,11804,1804,X
1268,11805,1805,X
1268,11806,1806,X
1268,11807,1807,X
1268,11808,1808,X
1268,11809,1809,X
1268,11811,1811,X
1268,11812,1812,X
1268,11824,1824,X
1268,11846,1846,X
1268,11860,1860,X
1268,11861,1861,X
1268,11862,1862,X
1268,11863,1863,X
1268,11873,1873,X
1268,11874,1874,X
